Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Acrotrichis intermedia	1	1	monophyletic		N/A		19.51	match	match	match	match
Acrotrichis nr. sitkaensis	1	1	monophyletic		N/A		16.65	match	match	match	match
Acrulia inflata	1	1	monophyletic		N/A		14.22	match	match	match	match
Actenicerus sjaelandicus	7	2	monophyletic		0.15		17.81	match	match	match	match
Acupalpus flavicollis	1	1	monophyletic		N/A		7.68	match	match	match	match
Acupalpus meridianus	1	1	monophyletic		N/A		7.35	match	match	match	match
Acupalpus parvulus	6	3	monophyletic		0.48		7.35	match	match	match	match
Acylophorus wagenschieberi	1	1	monophyletic		N/A		17.62	match	match	match	match
Adalia bipunctata	3	3	monophyletic		0.46		11.34	match	match	match	match
Adalia conglomerata	2	1	monophyletic		0.00		12.75	match	match	match	match
Adalia decempunctata	3	1	monophyletic		0.00		11.34	match	match	match	match
Adrastus pallens	4	2	monophyletic		0.15		19.04	match	match	match	match
Aegialia arenaria	3	2	monophyletic		0.15		14.37	match	match	match	match
Aegialia sabuleti	2	2	monophyletic		0.31		14.37	match	match	match	match
Agabus affinis	5	1	monophyletic		0.00		8.75	match	match	match	match
Agabus arcticus	1	1	monophyletic		N/A		4.10	match	match	match	match
Agabus bipustulatus	6	2	monophyletic		0.49		9.10	match	match	match	match
Agabus congener	3	3	polyphyletic	"Agabus lapponicus,Agabus thomsoni"	1.23		0.00	merge	merge	merge	merge
Agabus fuscipennis	1	1	monophyletic		N/A		7.77	match	match	match	match
Agabus guttatus	4	3	monophyletic		0.30		10.45	match	match	match	match
Agabus infuscatus	2	2	monophyletic		0.46		9.63	match	match	match	match
Agabus labiatus	2	2	monophyletic		0.15		10.82	match	match	match	match
Agabus lapponicus	5	3	paraphyletic	Agabus congener	1.07		0.00	merge	merge	merge	merge
Agabus paludosus	1	1	monophyletic		N/A		10.29	match	match	match	match
Agabus serricornis	2	2	monophyletic		0.46		9.94	match	match	match	match
Agabus sturmii	2	1	monophyletic		0.00		4.10	match	match	match	match
Agabus thomsoni	3	2	paraphyletic	Agabus congener	0.46		0.00	merge	merge	merge	merge
Agabus uliginosus	2	2	monophyletic		0.33		9.10	match	match	match	match
Agabus undulatus	2	2	monophyletic		0.30		9.94	match	match	match	match
