Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Baris artemisiae	2	1	monophyletic		0.00		17.98	match	match	match	match
Barypeithes pellucidus	4	4	monophyletic		10.50	8.18	17.57	split	split	split	split
Batophila rubi	5	3	monophyletic		3.45	3.29	19.10	split	split	match	split
Bembidion articulatum	3	2	monophyletic		0.15		11.86	match	match	match	match
Bembidion assimile	3	3	monophyletic		0.92		7.69	match	match	match	match
Bembidion biguttatum	2	2	monophyletic		0.31		11.06	match	match	match	match
Bembidion bipunctatum	5	1	monophyletic		0.00		10.60	match	match	match	match
Bembidion bruxellense	6	3	monophyletic		0.77		11.01	match	match	match	match
Bembidion deletum	1	1	monophyletic		N/A		11.30	match	match	match	match
Bembidion dentellum	3	2	paraphyletic	Bembidion tinctum	1.39		0.77	merge	merge	mixture	merge
Bembidion difficile	6	3	monophyletic		0.47		10.27	match	match	match	match
Bembidion doris	4	1	monophyletic		0.00		9.39	match	match	match	match
Bembidion femoratum	8	6	monophyletic		0.61		9.75	match	match	match	match
Bembidion gilvipes	4	3	monophyletic		0.51		7.47	match	match	match	match
Bembidion grapii	1	1	monophyletic		N/A		10.77	match	match	match	match
Bembidion guttula	6	3	monophyletic		1.38		11.06	match	match	match	split
Bembidion hastii	3	2	monophyletic		0.61		2.33	match	match	match	match
Bembidion illigeri	2	1	monophyletic		0.00		10.44	match	match	match	match
Bembidion lampros	6	1	monophyletic		0.00		9.05	match	match	match	match
Bembidion lapponicum	1	1	monophyletic		N/A		9.44	match	match	match	match
Bembidion litorale	3	1	monophyletic		0.00		9.13	match	match	match	match
Bembidion minimum	3	1	monophyletic		0.00		9.08	match	match	match	match
Bembidion obliquum	6	2	monophyletic		2.22	1.68	11.95	split	match	split	split
Bembidion obtusum	4	2	monophyletic		0.30		12.43	match	match	match	match
Bembidion prasinum	5	2	monophyletic		0.30		10.08	match	match	match	match
Bembidion properans	3	1	monophyletic		0.00		9.05	match	match	match	match
Bembidion pygmaeum	3	1	monophyletic		0.00		10.77	match	match	match	match
Bembidion quadrimaculatum	7	2	monophyletic		0.49		9.08	match	match	match	match
Bembidion ruficolle	3	1	monophyletic		0.00		10.08	match	match	match	match
Bembidion saxatile	6	3	monophyletic		0.78		11.60	match	match	match	match
Bembidion schuppelii	2	1	monophyletic		0.00		7.69	match	match	match	match
Bembidion tetracolum	3	2	monophyletic		0.32		9.75	match	match	match	match
Bembidion tinctum	1	1	monophyletic		N/A		0.77	merge	merge	mixture	merge
Bembidion transparens	4	2	monophyletic		1.14		7.47	match	match	match	match
Bembidion velox	1	1	monophyletic		N/A		9.13	match	match	match	match
Bembidion virens	6	2	monophyletic		0.16		2.33	match	match	match	match
Berosus luridus	5	3	monophyletic		0.30		19.73	match	match	match	match
Bibloplectus ambiguus	1	1	monophyletic		N/A		16.43	match	match	match	match
Bibloporus minutus	1	1	monophyletic		N/A		15.31	match	match	match	match
Bidessus grossepunctatus	2	1	monophyletic		0.00		13.32	match	match	match	match
Bisnius fimetarius	4	1	monophyletic		0.00		15.97	match	match	match	match
Bisnius nigriventris	1	1	monophyletic		N/A		18.05	match	match	match	match
Bisnius puella	3	3	monophyletic		0.77		16.39	match	match	match	match
Bisnius scoticus	2	2	monophyletic		0.18		23.13	match	match	match	match
Bisnius subuliformis	2	2	monophyletic		0.15		17.26	match	match	match	match
Bitoma crenata	3	3	monophyletic		1.38		13.26	match	match	match	match
Bledius arcticus	4	4	monophyletic		1.48	1.45	10.49	match	match	split	match
Bledius erraticus	3	3	monophyletic		0.32		15.20	match	match	match	match
Bledius gallicus	5	3	monophyletic		0.30		15.20	match	match	match	match
Bledius opacus	4	1	monophyletic		0.00		10.49	match	match	match	match
Bledius poppiusi	7	2	monophyletic		0.30		16.30	match	match	match	match
Bledius spectabilis	1	1	monophyletic		N/A		3.13	merge	match	match	match
Bledius subterraneus	3	1	monophyletic		0.00		14.42	match	match	match	match
Bledius talpa	7	4	monophyletic		0.46		15.77	match	match	match	match
Bledius tricornis	1	1	monophyletic		N/A		3.13	merge	match	match	match
Bolitochara pulchra	4	4	monophyletic		0.92		13.23	match	match	match	match
Bolitophagus reticulatus	3	3	monophyletic		0.30		16.84	match	match	match	match
Boreaphilus henningianus	5	5	monophyletic		0.46		14.19	match	match	match	match
Boreophilia eremita	6	2	monophyletic		0.18		13.00	match	match	match	match
Boreophilia sp.	1	1	monophyletic		N/A		4.21	match	match	match	match
Boreostiba sibirica	4	1	monophyletic		0.00		4.39	match	match	match	match
Boros schneideri	1	1	monophyletic		N/A		16.50	match	match	match	match
Bothrynoderes affinis	4	2	monophyletic		1.23		15.51	match	match	match	match
Brachonyx pineti	3	3	monophyletic		2.81	2.65	17.00	match	split	match	match
Brachyderes incanus	5	5	monophyletic		2.17	1.55	16.56	match	match	split	match
Brachygluta fossulata	2	2	monophyletic		0.46		16.85	match	match	match	match
Brachypterolus linariae	2	2	monophyletic		0.30		15.35	match	match	match	match
Brachypterolus pulicarius	2	1	monophyletic		0.00		16.46	match	match	match	match
Brachypterus glaber	6	1	monophyletic		0.00		11.67	match	match	match	match
Brachypterus urticae	3	2	monophyletic		2.34	2.34	11.67	match	match	split	split
Brachyta interrogationis	5	3	monophyletic		0.30		12.39	match	match	match	match
Bradycellus caucasicus	6	3	monophyletic		0.61		7.01	match	match	match	match
Bradycellus ruficollis	1	1	monophyletic		N/A		7.01	match	match	match	match
Bromius obscurus	4	1	monophyletic		0.00		18.99	match	match	match	match
Broscus cephalotes	4	1	monophyletic		0.00		11.92	match	match	match	match
Bruchus affinis	2	1	monophyletic		0.00		8.45	match	match	match	match
Bruchus atomarius	1	1	monophyletic		N/A		11.32	match	match	match	match
Bruchus loti	3	3	monophyletic		0.96		8.45	match	match	match	match
Bryaxis puncticollis	2	1	monophyletic		0.00		27.61	match	match	match	match
Brychius elevatus	3	2	monophyletic		0.61		12.98	match	match	match	match
Bryophacis maklini	1	1	monophyletic		N/A		14.75	match	match	match	match
Bryoporus cernuus	3	1	monophyletic		0.00		13.47	match	match	match	match
Buprestis dalmatina	2	1	monophyletic		0.00		12.44	match	match	match	match
Buprestis haemorrhoidalis	3	3	paraphyletic	Buprestis rustica	6.25	6.08	0.15	mixture	mixture	mixture	mixture
Buprestis novemmaculata	1	1	monophyletic		N/A		13.21	match	match	match	match
Buprestis octoguttata	1	1	monophyletic		N/A		15.59	match	match	match	match
Buprestis rustica	1	1	monophyletic		N/A		0.15	mixture	mixture	mixture	mixture
Byctiscus betulae	2	1	monophyletic		0.00		17.49	match	match	match	match
Byctiscus populi	2	2	monophyletic		0.16		17.49	match	match	match	match
Byrrhus arietinus	2	2	monophyletic		0.30		18.81	match	match	match	match
Byrrhus fasciatus	3	3	monophyletic		1.60	1.60	16.95	match	match	split	match
Byturus ochraceus	2	2	monophyletic		0.15		8.88	match	match	match	match
Byturus tomentosus	4	2	monophyletic		0.31		8.88	match	match	match	match
Cafius xantholoma	5	5	monophyletic		9.37	8.99	15.96	split	split	split	split
Calathus ambiguus	2	1	monophyletic		0.00		3.27	match	match	match	match
Calathus erratus	5	3	monophyletic		0.30		3.27	match	match	match	match
Calathus fuscipes	5	1	monophyletic		0.00		9.21	match	match	match	match
Calathus melanocephalus	4	2	monophyletic		0.16		3.92	match	match	match	match
Calathus micropterus	6	2	monophyletic		0.15		3.92	match	match	match	match
Callidium aeneum	4	1	monophyletic		0.00		13.97	match	match	match	match
Callidium coriaceum	1	1	monophyletic		N/A		13.97	match	match	match	match
Callidium violaceum	6	3	monophyletic		0.92		17.01	match	match	split	match
Calodera aethiops	3	2	paraphyletic	Calodera riparia	3.12	3.12	2.17	merge	split	split	split
Calodera riparia	1	1	monophyletic		N/A		2.17	merge	match	match	match
Calodromius spilotus	1	1	monophyletic		N/A		12.38	match	match	match	match
Calomicrus pinicola	1	1	monophyletic		N/A		17.00	match	match	match	match
Calopus serraticornis	2	1	monophyletic		0.00		14.92	match	match	match	match
Calosirus apicalis	1	1	monophyletic		N/A		17.27	match	match	match	match
Calvia quatuordecimguttata	2	2	monophyletic		2.32	2.32	11.13	match	split	split	split
Cantharis decipiens	1	1	monophyletic		N/A		10.62	match	match	match	match
Cantharis figurata	4	4	monophyletic		0.61		6.23	match	match	match	match
Cantharis flavilabris	2	2	monophyletic		0.15		8.56	match	match	match	match
Cantharis fusca	4	1	monophyletic		0.00		9.88	match	match	match	match
Cantharis lateralis	5	1	monophyletic		0.00		9.57	match	match	match	match
Cantharis livida	5	1	monophyletic		0.00		11.13	match	match	match	match
Cantharis nigra	2	1	monophyletic		0.00		8.56	match	match	match	match
Cantharis obscura	3	3	monophyletic		1.54	1.38	9.91	match	match	match	match
Cantharis paludosa	2	2	monophyletic		0.30		10.34	match	match	match	match
Cantharis pellucida	5	4	monophyletic		0.46		6.23	match	match	match	match
Cantharis quadripunctata	1	1	monophyletic		N/A		9.64	match	match	match	match
Cantharis rufa	2	2	monophyletic		0.15		11.84	match	match	match	match
Cantharis rustica	2	1	monophyletic		0.00		9.88	match	match	match	match
Carabus cancellatus	3	1	monophyletic		0.00		11.77	match	match	match	match
Carabus clathratus	1	1	monophyletic		N/A		11.73	match	match	match	match
Carabus glabratus	5	4	monophyletic		0.30		9.46	match	match	match	match
Carabus granulatus	2	2	monophyletic		0.30		13.21	match	match	match	match
Carabus hortensis	2	2	monophyletic		0.46		9.46	match	match	match	match
Carabus nemoralis	6	1	monophyletic		0.00		12.07	match	match	match	match
Carabus nitens	1	1	monophyletic		N/A		11.77	match	match	match	match
Carabus violaceus	2	2	monophyletic		3.70	3.70	11.37	split	split	split	split
Carcinops pumilio	3	2	monophyletic		0.30		21.60	match	match	match	match
Cardiophorus ruficollis	5	4	monophyletic		0.49		17.93	match	match	match	match
Cardiophorus vestigialis	3	1	monophyletic		0.00		17.60	match	match	match	match
Carpelimus bilineatus	5	3	monophyletic		0.61		6.71	match	match	match	match
Carpelimus corticinus	2	1	monophyletic		0.00		12.99	match	match	match	match
Carpelimus elongatulus	3	3	monophyletic		0.36		12.99	match	match	match	match
Carpelimus impressus	1	1	monophyletic		N/A		8.48	match	match	match	match
Carpelimus obesus	1	1	monophyletic		N/A		12.58	match	match	match	match
Carpelimus pusillus	2	1	monophyletic		0.00		9.58	match	match	match	match
Carpelimus rivularis	4	4	monophyletic		1.54	1.23	6.71	match	match	match	match
Cartodere constricta	2	2	monophyletic		0.15		14.82	match	match	match	match
Cartodere nodifer	3	2	monophyletic		0.32		14.82	match	match	match	match
Cassida denticollis	2	2	monophyletic		0.16		15.07	match	match	match	match
Cassida flaveola	1	1	monophyletic		N/A		15.39	match	match	match	match
Cassida murraea	2	1	monophyletic		0.00		14.26	match	match	match	match
Cassida nebulosa	5	4	monophyletic		1.60	1.43	17.32	match	match	match	match
Cassida nobilis	3	3	monophyletic		4.91	4.75	16.85	match	split	split	split
Cassida rubiginosa	2	2	monophyletic		0.92		14.51	match	match	match	match
Cassida sanguinosa	3	3	monophyletic		0.61		14.51	match	match	match	match
Cassida vibex	2	2	monophyletic		0.48		15.17	match	match	match	match
Cassida viridis	3	2	monophyletic		0.16		14.26	match	match	match	match
Catops alpinus	3	3	monophyletic		0.61		15.39	match	match	match	match
Catops morio	1	1	monophyletic		N/A		15.55	match	match	match	match
Cephalocousya nivicola	1	1	monophyletic		N/A		7.18	match	match	match	match
Cerambyx scopoli	3	2	monophyletic		0.16		19.00	match	match	match	match
Ceratomegilla notata	5	4	monophyletic		3.29	2.97	16.46	split	split	split	split
Cercyon analis	4	2	monophyletic		0.17		12.37	match	match	match	match
Cercyon bifenestratus	3	3	monophyletic		0.46		5.80	match	match	match	match
Cercyon borealis	4	1	monophyletic		0.00		0.00	mixture	mixture	merge	merge
Cercyon castaneipennis	1	1	monophyletic		N/A		12.35	match	match	match	match
Cercyon convexiusculus	3	2	monophyletic		0.17		9.60	match	match	match	match
Cercyon lateralis	5	1	monophyletic		0.00		12.18	match	match	match	match
Cercyon marinus	7	4	monophyletic		3.29	3.10	5.80	split	split	match	split
Cercyon melanocephalus	3	3	monophyletic		0.77		11.14	match	match	match	match
Cercyon nigriceps	1	1	monophyletic		N/A		14.02	match	match	match	match
Cercyon pygmaeus	1	1	monophyletic		N/A		12.75	match	match	match	match
Cercyon quisquilius	3	3	monophyletic		0.46		7.85	match	match	match	match
Cercyon sternalis	5	3	monophyletic		1.23		9.60	match	match	match	match
Cercyon terminatus	1	1	monophyletic		N/A		13.89	match	match	match	match
Cercyon tristis	4	4	monophyletic		1.18		11.38	match	match	match	match
Cercyon unipunctatus	2	2	paraphyletic	Cercyon borealis	1.69	1.69	0.00	mixture	mixture	merge	merge
Cerylon ferrugineum	1	1	monophyletic		N/A		0.46	merge	merge	mixture	merge
Cerylon histeroides	8	8	paraphyletic	Cerylon ferrugineum	2.17	0.85	0.46	merge	merge	mixture	merge
Cetonia aurata	1	1	monophyletic		N/A		15.54	match	match	match	match
Cetonischema aeruginosa	1	1	monophyletic		N/A		12.20	match	match	match	match
Ceutorhynchus asperifoliarum	3	2	monophyletic		0.30		17.44	match	match	match	match
Ceutorhynchus barbareae	1	1	monophyletic		N/A		7.55	match	match	match	match
Ceutorhynchus cakilis	2	1	monophyletic		0.00		0.00	merge	merge	merge	merge
Ceutorhynchus cochleariae	2	2	monophyletic		0.32		12.59	match	match	match	match
Ceutorhynchus contractus	14	4	paraphyletic	Ceutorhynchus erysimi	0.65		0.00	merge	merge	merge	merge
Ceutorhynchus erysimi	4	2	monophyletic		0.82		0.00	merge	merge	merge	merge
Ceutorhynchus fennicus	1	1	monophyletic		N/A		15.40	match	match	match	match
Ceutorhynchus gallorhenanus	4	1	monophyletic		0.00		4.73	match	match	match	match
Ceutorhynchus hampei	4	1	monophyletic		0.00		14.41	match	match	match	match
Ceutorhynchus ignitus	8	6	monophyletic		1.39		6.82	match	match	match	match
Ceutorhynchus inaffectatus	12	1	monophyletic		0.00		13.12	match	match	match	match
Ceutorhynchus litura	2	2	monophyletic		0.46		17.44	match	match	match	match
Ceutorhynchus obstrictus	11	2	monophyletic		0.33		4.73	match	match	match	match
Ceutorhynchus pallidactylus	2	2	monophyletic		0.96		13.42	match	match	match	match
Ceutorhynchus pervicax	1	1	monophyletic		N/A		6.82	match	match	match	match
Ceutorhynchus pulvinatus	1	1	monophyletic		N/A		12.46	match	match	match	match
Ceutorhynchus puncticollis	3	1	monophyletic		0.00		12.36	match	match	match	match
Ceutorhynchus punctiger	3	3	monophyletic		7.78	7.61	15.40	split	split	split	split
Ceutorhynchus querceti	3	3	monophyletic		0.88		15.88	match	match	match	match
Ceutorhynchus rapae	1	1	monophyletic		N/A		12.76	match	match	match	match
Ceutorhynchus roberti	2	2	monophyletic		1.14		14.02	match	match	match	match
Ceutorhynchus triangulum	1	1	monophyletic		N/A		18.56	match	match	match	match
Ceutorhynchus typhae	6	4	paraphyletic	Ceutorhynchus cakilis	0.46		0.00	merge	merge	merge	merge
Chaetarthria seminulum	5	5	monophyletic		1.86	0.77	13.69	match	match	match	match
Chaetocnema aridula	2	1	monophyletic		0.00		9.42	match	match	match	match
Chaetocnema hortensis	7	4	monophyletic		0.78		11.22	match	match	match	match
Chaetocnema mannerheimii	3	2	monophyletic		0.30		9.23	match	match	match	match
Chaetocnema picipes	2	1	monophyletic		0.00		15.08	match	match	match	match
Chaetocnema sahlbergii	5	5	monophyletic		0.61		9.23	match	match	match	match
Chalcophora mariana	1	1	monophyletic		N/A		19.35	match	match	match	match
Charopus graminicola	4	2	monophyletic		0.16		13.49	match	match	match	match
Chilocorus bipustulatus	1	1	monophyletic		N/A		8.04	match	match	match	match
Chilocorus renipustulatus	3	1	monophyletic		0.00		8.04	match	match	match	match
Chlorophorus herbstii	1	1	monophyletic		N/A		16.85	match	match	match	match
Chrysanthia geniculata	5	2	monophyletic		0.15		15.56	match	match	match	match
Chrysanthia viridissima	5	2	monophyletic		0.48		15.56	match	match	match	match
Chrysobothris chrysostigma	2	1	monophyletic		0.00		15.70	match	match	match	match
Chrysolina fastuosa	8	3	monophyletic		1.86	1.39	14.85	split	match	match	match
Chrysolina geminata	1	1	monophyletic		N/A		6.86	match	match	match	match
Chrysolina graminis	1	1	monophyletic		N/A		16.13	match	match	match	match
Chrysolina haemoptera	1	1	monophyletic		N/A		10.27	match	match	match	match
Chrysolina hyperici	2	1	monophyletic		0.00		6.86	match	match	match	match
Chrysolina marginata	4	3	monophyletic		2.97	2.23	14.24	match	match	match	split
Chrysolina polita	4	3	monophyletic		0.30		18.34	match	match	match	match
Chrysolina sanguinolenta	3	1	monophyletic		0.00		10.27	match	match	match	match
Chrysolina staphylaea	2	2	monophyletic		0.48		16.72	match	match	match	match
Chrysolina varians	5	4	monophyletic		5.28	4.11	13.21	match	split	split	split
Chrysomela collaris	3	2	monophyletic		0.46		12.26	match	match	match	match
Chrysomela cuprea	2	1	monophyletic		0.00		11.87	match	match	match	match
Chrysomela lapponica	1	1	monophyletic		N/A		13.99	match	match	match	match
Chrysomela populi	3	2	monophyletic		0.32		14.05	match	match	match	match
Chrysomela tremula	4	3	monophyletic		4.60	4.10	12.83	match	split	split	split
Chrysomela vigintipunctata	1	1	monophyletic		N/A		11.87	match	match	match	match
Cicindela campestris	4	1	monophyletic		0.00		7.22	match	match	match	match
Cicindela hybrida	5	3	monophyletic		0.30		7.22	match	match	match	match
Cicindela maritima	3	2	monophyletic		0.16		7.74	match	match	match	match
Cicindela sylvatica	2	1	monophyletic		0.00		7.37	match	match	match	match
Cilea silphoides	2	2	monophyletic		0.15		14.75	match	match	match	match
Cimberis attelaboides	1	1	monophyletic		N/A		15.50	match	match	match	match
Cionus hortulanus	4	3	monophyletic		0.46		9.31	match	match	match	match
Cionus nigritarsis	1	1	monophyletic		N/A		8.14	match	match	match	match
Cionus scrophulariae	2	2	monophyletic		0.36		13.03	match	match	match	match
Cionus tuberculosus	3	3	monophyletic		0.46		8.14	match	match	match	match
Cis bidentatus	1	1	monophyletic		N/A		12.93	match	match	match	match
Cis boleti	2	1	monophyletic		0.00		14.07	match	match	match	match
Cis castaneus	1	1	monophyletic		N/A		8.20	match	match	match	match
Cis comptus	2	2	monophyletic		0.15		18.21	match	match	match	match
Cis dentatus	1	1	monophyletic		N/A		12.93	match	match	match	match
Cis glabratus	1	1	monophyletic		N/A		18.70	match	match	match	match
Cis jacquemartii	1	1	monophyletic		N/A		8.20	match	match	match	match
Cis micans	1	1	monophyletic		N/A		14.07	match	match	match	match
Cis punctulatus	1	1	monophyletic		N/A		18.21	match	match	match	match
Clambus lohsei	1	1	monophyletic		N/A		17.86	match	match	match	match
Cleopomiarus distinctus	3	1	monophyletic		0.00		14.04	match	match	match	match
Cleopomiarus graminis	1	1	monophyletic		N/A		14.04	match	match	match	match
Cleopus pulchellus	3	2	monophyletic		0.46		18.36	match	match	match	match
Clivina fossor	4	3	monophyletic		0.46		12.94	match	match	match	match
Clytra quadripunctata	4	1	monophyletic		0.00		19.92	match	match	match	match
Clytus arietis	2	2	monophyletic		0.16		17.87	match	match	match	match
Coccidula rufa	4	4	monophyletic		3.12	2.49	16.10	match	match	split	split
Coccidula scutellata	4	3	monophyletic		0.77		16.10	match	match	match	match
Coccinella hieroglyphica	1	1	monophyletic		N/A		4.17	merge	match	match	match
Coccinella quinquepunctata	1	1	monophyletic		N/A		4.17	merge	match	match	match
Coccinella septempunctata	3	2	monophyletic		0.33		13.41	match	match	match	match
Coccinella trifasciata	1	1	monophyletic		N/A		10.65	match	match	match	match
Coccinella undecimpunctata	5	2	monophyletic		0.30		12.42	match	match	match	match
Coccinula quatuordecimpustulata	5	4	monophyletic		1.23		14.08	match	match	match	match
Coeliastes lamii	3	3	monophyletic		2.97	2.57	14.78	match	split	split	split
Coeliodes rubicundus	2	2	monophyletic		0.16		18.56	match	match	match	match
Coelostoma orbiculare	5	4	monophyletic		1.85	1.69	16.63	match	match	match	match
Colenis immunda	2	2	monophyletic		1.86	1.86	14.41	match	match	split	match
Colon appendiculatum	5	1	monophyletic		0.00		10.10	match	match	match	match
Colon bidentatum	1	1	monophyletic		N/A		8.54	match	match	match	match
Colon latum	1	1	monophyletic		N/A		4.56	match	match	match	match
Colon pseudolatum	1	1	monophyletic		N/A		4.56	match	match	match	match
Colon serripes	2	2	monophyletic		0.46		8.54	match	match	match	match
Colymbetes dolabratus	1	1	monophyletic		N/A		9.31	match	match	match	match
Colymbetes paykulli	4	4	monophyletic		1.39		9.31	match	match	match	match
Cordalia obscura	5	2	monophyletic		0.30		12.90	match	match	match	match
Cordylepherus viridis	6	4	monophyletic		0.46		12.11	match	match	match	match
Corticaria abietorum	1	1	monophyletic		N/A		7.72	match	match	match	match
Corticaria crenulata	1	1	monophyletic		N/A		10.78	match	match	match	match
Corticaria elongata	5	5	monophyletic		0.67		11.29	match	match	match	match
Corticaria foveola	2	1	monophyletic		0.00		7.72	match	match	match	match
Corticaria impressa	5	1	monophyletic		0.00		13.36	match	match	match	match
Corticaria lapponica	4	2	monophyletic		0.30		12.75	match	match	match	match
Corticaria longicollis	1	1	monophyletic		N/A		11.67	match	match	match	match
Corticaria orbicollis	1	1	monophyletic		N/A		10.28	match	match	match	match
Corticaria polypori	2	2	monophyletic		1.39		11.49	match	match	match	match
Corticaria rubripes	1	1	monophyletic		N/A		10.80	match	match	match	match
Corticaria umbilicata	1	1	monophyletic		N/A		11.31	match	match	match	match
Corticarina latipennis	1	1	monophyletic		N/A		10.28	match	match	match	match
Corticarina minuta	2	2	monophyletic		0.46		13.11	match	match	match	match
Corticarina obfuscata	1	1	monophyletic		N/A		10.28	match	match	match	match
Corticeus fraxini	2	1	monophyletic		0.00		17.23	match	match	match	match
Corticeus unicolor	2	1	monophyletic		0.00		15.74	match	match	match	match
Cortinicara gibbosa	4	2	monophyletic		0.46		12.40	match	match	match	match
Cortodera femorata	1	1	monophyletic		N/A		16.12	match	match	match	match
Creophilus maxillosus	2	1	monophyletic		0.00		14.58	match	match	match	match
Crepidodera aurata	6	3	monophyletic		0.30		16.06	match	match	match	match
Crepidodera fulvicornis	6	6	monophyletic		0.92		16.55	match	match	match	match
Crepidodera nitidula	1	1	monophyletic		N/A		18.52	match	match	match	match
Crioceris duodecimpunctata	1	1	monophyletic		N/A		17.92	match	match	match	match
Cryphalus abietis	1	1	monophyletic		N/A		12.56	match	match	match	match
Cryphalus saltuarius	2	1	monophyletic		0.00		12.56	match	match	match	match
Crypticus quisquilius	2	1	monophyletic		0.00		15.09	match	match	match	match
Cryptocephalus androgyne	4	1	monophyletic		0.00		2.01	match	match	merge	match
Cryptocephalus aureolus	1	1	monophyletic		N/A		19.68	match	match	match	match
Cryptocephalus bipunctatus	8	5	monophyletic		0.95		16.52	match	match	match	match
Cryptocephalus distinguendus	2	2	monophyletic		0.15		13.70	match	match	match	match
Cryptocephalus fulvus	2	1	monophyletic		0.00		18.21	match	match	match	match
Cryptocephalus labiatus	8	3	monophyletic		0.30		16.52	match	match	match	match
Cryptocephalus moraei	3	2	monophyletic		0.16		18.00	match	match	match	match
Cryptocephalus nitidulus	1	1	monophyletic		N/A		16.13	match	match	match	match
Cryptocephalus nitidus	5	1	monophyletic		0.00		18.79	match	match	match	match
Cryptocephalus octopunctatus	1	1	monophyletic		N/A		1.24	merge	merge	merge	merge
Cryptocephalus parvulus	2	2	monophyletic		0.32		2.01	match	match	merge	match
Cryptocephalus pini	3	2	monophyletic		16.41	16.41	19.49	split	split	split	split
Cryptocephalus punctiger	1	1	monophyletic		N/A		20.84	match	match	match	match
Cryptocephalus pusillus	3	1	monophyletic		0.00		18.41	match	match	match	match
Cryptocephalus quadripustulatus	3	2	monophyletic		0.15		16.13	match	match	match	match
Cryptocephalus sexpunctatus	1	1	monophyletic		N/A		1.24	merge	merge	merge	merge
Cryptolestes corticinus	1	1	monophyletic		N/A		17.41	match	match	match	match
Cryptolestes duplicatus	1	1	monophyletic		N/A		15.87	match	match	match	match
Cryptolestes ferrugineus	2	2	monophyletic		8.77	8.77	15.48	split	split	split	split
Cryptophagus acutangulus	1	1	monophyletic		N/A		16.83	match	match	match	match
Cryptophagus badius	2	2	monophyletic		1.23		16.12	match	match	match	match
Cryptophagus confusus	2	1	monophyletic		0.00		15.80	match	match	match	match
Cryptophagus dorsalis	1	1	monophyletic		N/A		17.25	match	match	match	match
Cryptophagus parallelus	1	1	monophyletic		N/A		15.80	match	match	match	match
Cryptophagus quercinus	1	1	monophyletic		N/A		16.12	match	match	match	match
Cryptophagus setulosus	1	1	monophyletic		N/A		15.13	match	match	match	match
Cryptophagus tuberculosus	2	1	monophyletic		0.00		15.13	match	match	match	match
Cryptopleurum minutum	1	1	monophyletic		N/A		13.09	match	match	match	match
Cryptopleurum subtile	3	2	monophyletic		0.15		12.90	match	match	match	match
Cryptorhynchus lapathi	2	2	monophyletic		0.17		18.80	match	match	match	match
Crypturgus subcribrosus	1	1	monophyletic		N/A		19.43	match	match	match	match
Ctenicera pectinicornis	4	4	monophyletic		8.59	8.41	11.33	split	split	split	split
Curimopsis paleata	1	1	monophyletic		N/A		17.05	match	match	match	match
Cybister lateralimarginalis	1	1	monophyletic		N/A		10.94	match	match	match	match
Cychramus luteus	6	4	monophyletic		1.40	1.25	17.28	match	match	split	match
Cychramus variegatus	1	1	monophyletic		N/A		15.53	match	match	match	match
Cychrus caraboides	2	2	monophyletic		0.32		10.79	match	match	match	match
Cylletron nivale	2	1	monophyletic		0.00		12.26	match	match	match	match
Cymbiodyta marginella	3	2	monophyletic		0.61		14.47	match	match	match	match
Cymindis macularis	1	1	monophyletic		N/A		7.26	match	match	match	match
Cymindis vaporariorum	2	2	monophyletic		0.46		7.26	match	match	match	match
Cynegetis impunctata	2	1	monophyletic		0.00		18.70	match	match	match	match
Cypha laeviuscula	1	1	monophyletic		N/A		9.94	match	match	match	match
Cypha tarsalis	2	2	monophyletic		2.17	2.17	9.94	match	match	split	split
Cyphon coarctatus	2	2	monophyletic		1.08		14.90	match	match	match	match
Cyphon laevipennis	4	2	monophyletic		0.15		7.09	match	match	match	match
Cyphon ochraceus	6	3	monophyletic		0.30		16.84	match	match	match	match
Cyphon padi	4	2	monophyletic		0.15		18.63	match	match	match	match
Cyphon palustris	2	2	monophyletic		0.30		14.90	match	match	match	match
Cyphon variabilis	6	5	monophyletic		0.46		7.09	match	match	match	match
Cytilus auricomus	6	3	monophyletic		1.77	1.56	2.50	split	split	match	match
Cytilus sericeus	4	4	monophyletic		0.61		2.50	match	match	match	match
Dacne bipustulata	4	1	monophyletic		0.00		18.14	match	match	match	match
Dalopius marginatus	4	2	monophyletic		0.30		14.25	match	match	match	match
Dasytes cyaneus	1	1	monophyletic		N/A		7.71	match	match	match	match
Dasytes fusculus	1	1	monophyletic		N/A		7.90	match	match	match	match
Dasytes niger	5	5	monophyletic		1.70	0.92	8.73	match	match	match	match
Dasytes obscurus	3	2	monophyletic		0.18		8.22	match	match	match	match
Dasytes plumbeus	5	4	monophyletic		1.80	1.24	7.71	match	match	split	match
Deleaster dichrous	3	1	monophyletic		0.00		17.79	match	match	match	match
Deliphrum tectum	2	1	monophyletic		0.00		13.84	match	match	match	match
Demetrias imperialis	8	1	monophyletic		0.00		11.65	match	match	match	match
Dendroctonus micans	2	1	monophyletic		0.00		20.82	match	match	match	match
Dendrophagus crenatus	1	1	monophyletic		N/A		13.59	match	match	match	match
Dendrophilus pygmaeus	1	1	monophyletic		N/A		18.52	match	match	match	match
Denticollis borealis	2	1	monophyletic		0.00		16.08	match	match	match	match
Denticollis linearis	4	1	monophyletic		0.00		11.33	match	match	match	match
