Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Atheta graminicola	7	3	monophyletic		0.30		8.54	match	match	match	match	524.03	431.84
Atheta gyllenhalii	2	2	monophyletic		1.02		12.03	match	match	match	match	0	N/A
Atheta hygrotopora	3	3	monophyletic		1.39		12.01	match	match	match	match	41.57	36.00
Atheta hypnorum	2	2	monophyletic		0.61		2.01	match	match	merge	match	0	N/A
Atheta incognita	4	2	monophyletic		0.15		2.01	match	match	merge	match	223.44	173.07
Atheta intermedia	2	2	monophyletic		0.15		12.10	match	match	match	match	0	N/A
Atheta ischnocera	2	2	monophyletic		0.61		13.18	match	match	match	match	0	N/A
Atheta laevana	8	1	monophyletic		0.00		9.39	match	match	match	match	98.24	160.87
Atheta lapponica	5	3	paraphyletic	Atheta aeneipennis	0.61		0.92	merge	merge	merge	merge	0.00	0.00
Atheta laticollis	4	2	monophyletic		0.15		14.57	match	match	match	match	349.35	185.05
Atheta longicornis	1	1	monophyletic		N/A		14.53	match	match	match	match	0	N/A
Atheta macrocera	4	3	monophyletic		2.80	2.59	14.17	match	split	split	split	639.26	446.51
Atheta malleus	5	3	paraphyletic	Atheta volans	0.61		0.30	merge	merge	merge	merge	506.73	340.87
Atheta marcida	1	1	monophyletic		N/A		12.51	match	match	match	match	0	N/A
Atheta melanocera	6	3	monophyletic		0.30		3.93	match	match	match	match	243.93	222.60
Atheta munsteri	1	1	monophyletic		N/A		4.42	merge	match	match	match	0	N/A
Atheta myrmecobia	2	2	monophyletic		3.81	3.81	11.65	match	split	split	split	0	N/A
Atheta nesslingi	3	3	monophyletic		0.73		9.54	match	match	match	match	252.20	218.41
Atheta nigripes	6	4	monophyletic		1.70	1.38	9.40	match	split	match	match	231.31	164.34
Atheta palustris	4	4	monophyletic		0.46		10.67	match	match	match	match	604.76	260.28
Atheta paracrassicornis	2	2	monophyletic		0.49		6.19	match	match	match	match	0	N/A
Atheta picipes	2	1	monophyletic		0.00		10.62	match	match	match	match	0	N/A
Atheta pilicornis	2	2	monophyletic		2.01	2.01	8.43	match	match	match	split	0	N/A
Atheta pinegensis	2	2	monophyletic		0.15		11.65	match	match	match	match	0	N/A
Atheta procera	2	1	monophyletic		0.00		11.05	match	match	match	match	0	N/A
Atheta setigera	4	2	monophyletic		0.15		9.73	match	match	match	match	1.28	1.40
Atheta sodalis	5	4	monophyletic		0.92		5.08	match	match	match	match	451.04	284.50
Atheta sordidula	1	1	monophyletic		N/A		12.79	match	match	match	match	0	N/A
Atheta sp.1	1	1	monophyletic		N/A		5.55	match	match	match	match	0	N/A
Atheta sp.2	1	1	monophyletic		N/A		14.30	match	match	match	match	0	N/A
Atheta spatuloides	4	3	monophyletic		0.30		12.21	match	match	match	match	0.00	0.00
Atheta strandiella	3	1	monophyletic		0.00		6.55	match	match	match	match	0.00	0.00
Atheta subtilis	6	2	monophyletic		0.17		10.28	match	match	match	match	450.19	278.71
Atheta taxiceroides	1	1	monophyletic		N/A		10.62	match	match	match	match	0	N/A
Atheta vaga	5	3	monophyletic		0.61		12.59	match	match	match	match	121.43	87.90
Atheta vestita	4	2	monophyletic		0.15		11.70	match	match	match	match	104.67	97.89
Atheta vilis	2	2	monophyletic		1.23		13.04	match	match	match	match	0	N/A
Atheta volans	3	1	monophyletic		0.00		0.30	merge	merge	merge	merge	131.30	113.71
Atholus duodecimstriatus	3	2	monophyletic		0.15		16.61	match	match	match	match	0.00	0.00
Athous haemorrhoidalis	7	2	monophyletic		0.48		15.51	match	match	match	match	288.86	212.11
Athous subfuscus	4	2	monophyletic		0.15		14.45	match	match	match	match	872.68	572.31
Atomaria apicalis	1	1	monophyletic		N/A		10.70	match	match	match	match	0	N/A
Atomaria basalis	1	1	monophyletic		N/A		12.85	match	match	match	match	0	N/A
Atomaria fulvipennis	1	1	monophyletic		N/A		6.08	match	match	match	match	0	N/A
Atomaria fuscata	4	2	monophyletic		0.15		12.77	match	match	match	match	354.61	308.69
Atomaria lewisi	3	2	monophyletic		0.92		11.94	match	match	match	match	494.38	106.11
Atomaria nigrirostris	1	1	monophyletic		N/A		14.97	match	match	match	match	0	N/A
Atomaria nitidula	2	1	monophyletic		0.00		6.08	match	match	match	match	0	N/A
Atomaria peltata	1	1	monophyletic		N/A		12.85	match	match	match	match	0	N/A
Atomaria pusilla	1	1	monophyletic		N/A		13.53	match	match	match	match	0	N/A
Atomaria rubella	5	3	monophyletic		0.92		12.25	match	match	match	match	420.70	307.95
Atomaria sp.	1	1	monophyletic		N/A		12.85	match	match	match	match	0	N/A
Atomaria testacea	1	1	monophyletic		N/A		13.67	match	match	match	match	0	N/A
Atomaria turgida	2	2	monophyletic		0.46		10.70	match	match	match	match	0	N/A
Atomaria vespertina	1	1	monophyletic		N/A		14.04	match	match	match	match	0	N/A
Atomaria wollastoni	3	1	monophyletic		0.00		14.04	match	match	match	match	457.91	396.56
Atomaria zetterstedti	2	2	monophyletic		0.15		12.25	match	match	match	match	0	N/A
Atrecus pilicornis	1	1	monophyletic		N/A		12.78	match	match	match	match	0	N/A
Attagenus pellio	1	1	monophyletic		N/A		15.50	match	match	match	match	0	N/A
Attagenus woodroffei	1	1	monophyletic		N/A		16.05	match	match	match	match	0	N/A
Auleutes epilobii	3	2	monophyletic		0.46		18.37	match	match	match	match	177.31	92.10
Autalia longicornis	1	1	monophyletic		N/A		8.90	match	match	match	match	0	N/A
Autalia puncticollis	3	1	monophyletic		0.00		8.90	match	match	match	match	0.00	0.00
Autalia rivularis	2	2	monophyletic		0.31		12.78	match	match	match	match	0	N/A
Aygules intermedius	1	1	monophyletic		N/A		12.61	match	match	match	match	0	N/A
Badister bullatus	6	1	monophyletic		0.00		6.40	match	match	match	match	145.57	131.51
Badister dilatatus	7	2	monophyletic		0.15		9.77	match	match	match	match	23.69	20.82
Badister lacertosus	1	1	monophyletic		N/A		6.40	match	match	match	match	0	N/A
Baeocrara japonica	1	1	monophyletic		N/A		15.05	match	match	match	match	0	N/A
Baeocrara variolosa	2	2	monophyletic		0.15		15.05	match	match	match	match	0	N/A
Bagous glabrirostris	2	1	monophyletic		0.00		21.01	match	match	match	match	0	N/A
Bagous longitarsis	2	2	monophyletic		0.15		23.06	match	match	match	match	0	N/A
Baris artemisiae	2	1	monophyletic		0.00		17.98	match	match	match	match	0	N/A
Barypeithes pellucidus	4	4	monophyletic		10.50	8.18	17.57	split	split	split	split	139.79	82.70
Batophila rubi	5	3	monophyletic		3.45	3.29	19.10	split	split	match	split	312.15	146.89
Bembidion articulatum	3	2	monophyletic		0.15		11.86	match	match	match	match	184.69	159.95
Bembidion assimile	3	3	monophyletic		0.92		7.69	match	match	match	match	27.65	12.95
Bembidion biguttatum	2	2	monophyletic		0.31		11.06	match	match	match	match	0	N/A
Bembidion bipunctatum	5	1	monophyletic		0.00		10.60	match	match	match	match	495.32	317.75
Bembidion bruxellense	6	3	monophyletic		0.77		11.01	match	match	match	match	399.27	343.31
Bembidion deletum	1	1	monophyletic		N/A		11.30	match	match	match	match	0	N/A
Bembidion dentellum	3	2	paraphyletic	Bembidion tinctum	1.39		0.77	merge	merge	mixture	merge	12.00	10.39
Bembidion difficile	6	3	monophyletic		0.47		10.27	match	match	match	match	102.08	109.92
Bembidion doris	4	1	monophyletic		0.00		9.39	match	match	match	match	127.95	86.03
Bembidion femoratum	8	6	monophyletic		0.61		9.75	match	match	match	match	420.97	280.68
Bembidion gilvipes	4	3	monophyletic		0.51		7.47	match	match	match	match	150.00	97.81
Bembidion grapii	1	1	monophyletic		N/A		10.77	match	match	match	match	0	N/A
Bembidion guttula	6	3	monophyletic		1.38		11.06	match	match	match	split	308.66	276.02
Bembidion hastii	3	2	monophyletic		0.61		2.33	match	match	match	match	0.00	0.00
Bembidion illigeri	2	1	monophyletic		0.00		10.44	match	match	match	match	0	N/A
Bembidion lampros	6	1	monophyletic		0.00		9.05	match	match	match	match	188.38	103.05
Bembidion lapponicum	1	1	monophyletic		N/A		9.44	match	match	match	match	0	N/A
Bembidion litorale	3	1	monophyletic		0.00		9.13	match	match	match	match	0.00	0.00
Bembidion minimum	3	1	monophyletic		0.00		9.08	match	match	match	match	1.33	1.15
Bembidion obliquum	6	2	monophyletic		2.22	1.68	11.95	split	match	split	split	628.10	348.94
Bembidion obtusum	4	2	monophyletic		0.30		12.43	match	match	match	match	4.41	4.83
Bembidion prasinum	5	2	monophyletic		0.30		10.08	match	match	match	match	170.03	146.34
Bembidion properans	3	1	monophyletic		0.00		9.05	match	match	match	match	188.24	96.07
Bembidion pygmaeum	3	1	monophyletic		0.00		10.77	match	match	match	match	0.00	0.00
Bembidion quadrimaculatum	7	2	monophyletic		0.49		9.08	match	match	match	match	376.40	210.49
Bembidion ruficolle	3	1	monophyletic		0.00		10.08	match	match	match	match	0.00	0.00
Bembidion saxatile	6	3	monophyletic		0.78		11.60	match	match	match	match	382.25	326.32
Bembidion schuppelii	2	1	monophyletic		0.00		7.69	match	match	match	match	0	N/A
Bembidion tetracolum	3	2	monophyletic		0.32		9.75	match	match	match	match	179.00	143.54
Bembidion tinctum	1	1	monophyletic		N/A		0.77	merge	merge	mixture	merge	0	N/A
Bembidion transparens	4	2	monophyletic		1.14		7.47	match	match	match	match	387.18	299.91
Bembidion velox	1	1	monophyletic		N/A		9.13	match	match	match	match	0	N/A
Bembidion virens	6	2	monophyletic		0.16		2.33	match	match	match	match	165.44	114.01
Berosus luridus	5	3	monophyletic		0.30		19.73	match	match	match	match	651.97	357.19
Bibloplectus ambiguus	1	1	monophyletic		N/A		16.43	match	match	match	match	0	N/A
Bibloporus minutus	1	1	monophyletic		N/A		15.31	match	match	match	match	0	N/A
Bidessus grossepunctatus	2	1	monophyletic		0.00		13.32	match	match	match	match	0	N/A
Bisnius fimetarius	4	1	monophyletic		0.00		15.97	match	match	match	match	358.01	277.31
Bisnius nigriventris	1	1	monophyletic		N/A		18.05	match	match	match	match	0	N/A
Bisnius puella	3	3	monophyletic		0.77		16.39	match	match	match	match	0.00	0.00
Bisnius scoticus	2	2	monophyletic		0.18		23.13	match	match	match	match	0	N/A
Bisnius subuliformis	2	2	monophyletic		0.15		17.26	match	match	match	match	0	N/A
Bitoma crenata	3	3	monophyletic		1.38		13.26	match	match	match	match	307.08	265.94
Bledius arcticus	4	4	monophyletic		1.48	1.45	10.49	match	match	split	match	403.10	278.16
Bledius erraticus	3	3	monophyletic		0.32		15.20	match	match	match	match	7.84	6.12
Bledius gallicus	5	3	monophyletic		0.30		15.20	match	match	match	match	237.05	303.48
Bledius opacus	4	1	monophyletic		0.00		10.49	match	match	match	match	394.64	432.31
Bledius poppiusi	7	2	monophyletic		0.30		16.30	match	match	match	match	86.36	74.53
Bledius spectabilis	1	1	monophyletic		N/A		3.13	merge	match	match	match	0	N/A
Bledius subterraneus	3	1	monophyletic		0.00		14.42	match	match	match	match	184.28	159.59
Bledius talpa	7	4	monophyletic		0.46		15.77	match	match	match	match	585.05	382.67
Bledius tricornis	1	1	monophyletic		N/A		3.13	merge	match	match	match	0	N/A
Bolitochara pulchra	4	4	monophyletic		0.92		13.23	match	match	match	match	141.55	145.17
Bolitophagus reticulatus	3	3	monophyletic		0.30		16.84	match	match	match	match	507.51	215.70
Boreaphilus henningianus	5	5	monophyletic		0.46		14.19	match	match	match	match	171.02	134.10
Boreophilia eremita	6	2	monophyletic		0.18		13.00	match	match	match	match	283.95	262.63
Boreophilia sp.	1	1	monophyletic		N/A		4.21	match	match	match	match	0	N/A
Boreostiba sibirica	4	1	monophyletic		0.00		4.39	match	match	match	match	0.56	0.62
Boros schneideri	1	1	monophyletic		N/A		16.50	match	match	match	match	0	N/A
Bothrynoderes affinis	4	2	monophyletic		1.23		15.51	match	match	match	match	100.01	109.56
Brachonyx pineti	3	3	monophyletic		2.81	2.65	17.00	match	split	match	match	67.44	51.04
Brachyderes incanus	5	5	monophyletic		2.17	1.55	16.56	match	match	split	match	323.43	178.60
Brachygluta fossulata	2	2	monophyletic		0.46		16.85	match	match	match	match	0	N/A
Brachypterolus linariae	2	2	monophyletic		0.30		15.35	match	match	match	match	0	N/A
Brachypterolus pulicarius	2	1	monophyletic		0.00		16.46	match	match	match	match	0	N/A
Brachypterus glaber	6	1	monophyletic		0.00		11.67	match	match	match	match	359.46	226.95
Brachypterus urticae	3	2	monophyletic		2.34	2.34	11.67	match	match	split	split	581.24	442.23
Brachyta interrogationis	5	3	monophyletic		0.30		12.39	match	match	match	match	375.10	230.36
Bradycellus caucasicus	6	3	monophyletic		0.61		7.01	match	match	match	match	422.67	235.90
Bradycellus ruficollis	1	1	monophyletic		N/A		7.01	match	match	match	match	0	N/A
Bromius obscurus	4	1	monophyletic		0.00		18.99	match	match	match	match	376.62	273.08
Broscus cephalotes	4	1	monophyletic		0.00		11.92	match	match	match	match	322.39	163.22
Bruchus affinis	2	1	monophyletic		0.00		8.45	match	match	match	match	0	N/A
Bruchus atomarius	1	1	monophyletic		N/A		11.32	match	match	match	match	0	N/A
Bruchus loti	3	3	monophyletic		0.96		8.45	match	match	match	match	293.92	92.22
Bryaxis puncticollis	2	1	monophyletic		0.00		27.61	match	match	match	match	0	N/A
Brychius elevatus	3	2	monophyletic		0.61		12.98	match	match	match	match	0.53	0.46
Bryophacis maklini	1	1	monophyletic		N/A		14.75	match	match	match	match	0	N/A
Bryoporus cernuus	3	1	monophyletic		0.00		13.47	match	match	match	match	253.62	126.38
Buprestis dalmatina	2	1	monophyletic		0.00		12.44	match	match	match	match	0	N/A
Buprestis haemorrhoidalis	3	3	paraphyletic	Buprestis rustica	6.25	6.08	0.15	mixture	mixture	mixture	mixture	454.16	156.59
Buprestis novemmaculata	1	1	monophyletic		N/A		13.21	match	match	match	match	0	N/A
Buprestis octoguttata	1	1	monophyletic		N/A		15.59	match	match	match	match	0	N/A
Buprestis rustica	1	1	monophyletic		N/A		0.15	mixture	mixture	mixture	mixture	0	N/A
Byctiscus betulae	2	1	monophyletic		0.00		17.49	match	match	match	match	0	N/A
Byctiscus populi	2	2	monophyletic		0.16		17.49	match	match	match	match	0	N/A
Byrrhus arietinus	2	2	monophyletic		0.30		18.81	match	match	match	match	0	N/A
Byrrhus fasciatus	3	3	monophyletic		1.60	1.60	16.95	match	match	split	match	716.83	309.92
Byturus ochraceus	2	2	monophyletic		0.15		8.88	match	match	match	match	0	N/A
Byturus tomentosus	4	2	monophyletic		0.31		8.88	match	match	match	match	277.38	231.70
Cafius xantholoma	5	5	monophyletic		9.37	8.99	15.96	split	split	split	split	120.82	79.95
Calathus ambiguus	2	1	monophyletic		0.00		3.27	match	match	match	match	0	N/A
Calathus erratus	5	3	monophyletic		0.30		3.27	match	match	match	match	156.06	86.88
Calathus fuscipes	5	1	monophyletic		0.00		9.21	match	match	match	match	189.92	230.96
Calathus melanocephalus	4	2	monophyletic		0.16		3.92	match	match	match	match	807.34	489.80
Calathus micropterus	6	2	monophyletic		0.15		3.92	match	match	match	match	385.41	270.75
Callidium aeneum	4	1	monophyletic		0.00		13.97	match	match	match	match	409.20	313.75
Callidium coriaceum	1	1	monophyletic		N/A		13.97	match	match	match	match	0	N/A
Callidium violaceum	6	3	monophyletic		0.92		17.01	match	match	split	match	437.42	229.48
Calodera aethiops	3	2	paraphyletic	Calodera riparia	3.12	3.12	2.17	merge	split	split	split	71.85	62.23
Calodera riparia	1	1	monophyletic		N/A		2.17	merge	match	match	match	0	N/A
Calodromius spilotus	1	1	monophyletic		N/A		12.38	match	match	match	match	0	N/A
Calomicrus pinicola	1	1	monophyletic		N/A		17.00	match	match	match	match	0	N/A
Calopus serraticornis	2	1	monophyletic		0.00		14.92	match	match	match	match	0	N/A
Calosirus apicalis	1	1	monophyletic		N/A		17.27	match	match	match	match	0	N/A
Calvia quatuordecimguttata	2	2	monophyletic		2.32	2.32	11.13	match	split	split	split	0	N/A
Cantharis decipiens	1	1	monophyletic		N/A		10.62	match	match	match	match	0	N/A
Cantharis figurata	4	4	monophyletic		0.61		6.23	match	match	match	match	385.36	305.61
Cantharis flavilabris	2	2	monophyletic		0.15		8.56	match	match	match	match	0	N/A
Cantharis fusca	4	1	monophyletic		0.00		9.88	match	match	match	match	164.03	124.95
Cantharis lateralis	5	1	monophyletic		0.00		9.57	match	match	match	match	175.56	90.33
Cantharis livida	5	1	monophyletic		0.00		11.13	match	match	match	match	171.74	117.16
Cantharis nigra	2	1	monophyletic		0.00		8.56	match	match	match	match	0	N/A
Cantharis obscura	3	3	monophyletic		1.54	1.38	9.91	match	match	match	match	475.20	106.15
Cantharis paludosa	2	2	monophyletic		0.30		10.34	match	match	match	match	0	N/A
Cantharis pellucida	5	4	monophyletic		0.46		6.23	match	match	match	match	183.02	132.55
Cantharis quadripunctata	1	1	monophyletic		N/A		9.64	match	match	match	match	0	N/A
Cantharis rufa	2	2	monophyletic		0.15		11.84	match	match	match	match	0	N/A
Cantharis rustica	2	1	monophyletic		0.00		9.88	match	match	match	match	0	N/A
Carabus cancellatus	3	1	monophyletic		0.00		11.77	match	match	match	match	228.94	106.16
Carabus clathratus	1	1	monophyletic		N/A		11.73	match	match	match	match	0	N/A
Carabus glabratus	5	4	monophyletic		0.30		9.46	match	match	match	match	276.38	104.18
Carabus granulatus	2	2	monophyletic		0.30		13.21	match	match	match	match	0	N/A
Carabus hortensis	2	2	monophyletic		0.46		9.46	match	match	match	match	0	N/A
Carabus nemoralis	6	1	monophyletic		0.00		12.07	match	match	match	match	209.67	126.73
Carabus nitens	1	1	monophyletic		N/A		11.77	match	match	match	match	0	N/A
Carabus violaceus	2	2	monophyletic		3.70	3.70	11.37	split	split	split	split	0	N/A
Carcinops pumilio	3	2	monophyletic		0.30		21.60	match	match	match	match	512.58	443.90
Cardiophorus ruficollis	5	4	monophyletic		0.49		17.93	match	match	match	match	405.09	388.32
Cardiophorus vestigialis	3	1	monophyletic		0.00		17.60	match	match	match	match	101.48	76.10
Carpelimus bilineatus	5	3	monophyletic		0.61		6.71	match	match	match	match	176.95	140.95
Carpelimus corticinus	2	1	monophyletic		0.00		12.99	match	match	match	match	0	N/A
Carpelimus elongatulus	3	3	monophyletic		0.36		12.99	match	match	match	match	188.98	130.23
Carpelimus impressus	1	1	monophyletic		N/A		8.48	match	match	match	match	0	N/A
Carpelimus obesus	1	1	monophyletic		N/A		12.58	match	match	match	match	0	N/A
Carpelimus pusillus	2	1	monophyletic		0.00		9.58	match	match	match	match	0	N/A
Carpelimus rivularis	4	4	monophyletic		1.54	1.23	6.71	match	match	match	match	99.36	63.98
Cartodere constricta	2	2	monophyletic		0.15		14.82	match	match	match	match	0	N/A
Cartodere nodifer	3	2	monophyletic		0.32		14.82	match	match	match	match	292.97	117.01
Cassida denticollis	2	2	monophyletic		0.16		15.07	match	match	match	match	0	N/A
Cassida flaveola	1	1	monophyletic		N/A		15.39	match	match	match	match	0	N/A
Cassida murraea	2	1	monophyletic		0.00		14.26	match	match	match	match	0	N/A
Cassida nebulosa	5	4	monophyletic		1.60	1.43	17.32	match	match	match	match	89.53	77.06
Cassida nobilis	3	3	monophyletic		4.91	4.75	16.85	match	split	split	split	117.78	58.90
Cassida rubiginosa	2	2	monophyletic		0.92		14.51	match	match	match	match	0	N/A
Cassida sanguinosa	3	3	monophyletic		0.61		14.51	match	match	match	match	342.20	185.28
Cassida vibex	2	2	monophyletic		0.48		15.17	match	match	match	match	0	N/A
Cassida viridis	3	2	monophyletic		0.16		14.26	match	match	match	match	299.38	154.38
Catops alpinus	3	3	monophyletic		0.61		15.39	match	match	match	match	99.27	85.97
Catops morio	1	1	monophyletic		N/A		15.55	match	match	match	match	0	N/A
Cephalocousya nivicola	1	1	monophyletic		N/A		7.18	match	match	match	match	0	N/A
Cerambyx scopoli	3	2	monophyletic		0.16		19.00	match	match	match	match	0.00	0.00
Ceratomegilla notata	5	4	monophyletic		3.29	2.97	16.46	split	split	split	split	249.30	154.46
Cercyon analis	4	2	monophyletic		0.17		12.37	match	match	match	match	192.43	139.82
Cercyon bifenestratus	3	3	monophyletic		0.46		5.80	match	match	match	match	134.24	104.50
Cercyon borealis	4	1	monophyletic		0.00		0.00	mixture	mixture	merge	merge	143.20	110.92
Cercyon castaneipennis	1	1	monophyletic		N/A		12.35	match	match	match	match	0	N/A
Cercyon convexiusculus	3	2	monophyletic		0.17		9.60	match	match	match	match	485.38	420.35
Cercyon lateralis	5	1	monophyletic		0.00		12.18	match	match	match	match	347.84	195.33
Cercyon marinus	7	4	monophyletic		3.29	3.10	5.80	split	split	match	split	339.18	259.00
Cercyon melanocephalus	3	3	monophyletic		0.77		11.14	match	match	match	match	554.35	480.08
Cercyon nigriceps	1	1	monophyletic		N/A		14.02	match	match	match	match	0	N/A
Cercyon pygmaeus	1	1	monophyletic		N/A		12.75	match	match	match	match	0	N/A
Cercyon quisquilius	3	3	monophyletic		0.46		7.85	match	match	match	match	612.25	231.31
Cercyon sternalis	5	3	monophyletic		1.23		9.60	match	match	match	match	37.90	28.44
Cercyon terminatus	1	1	monophyletic		N/A		13.89	match	match	match	match	0	N/A
Cercyon tristis	4	4	monophyletic		1.18		11.38	match	match	match	match	100.64	110.25
Cercyon unipunctatus	2	2	paraphyletic	Cercyon borealis	1.69	1.69	0.00	mixture	mixture	merge	merge	0	N/A
Cerylon ferrugineum	1	1	monophyletic		N/A		0.46	merge	merge	mixture	merge	0	N/A
Cerylon histeroides	8	8	paraphyletic	Cerylon ferrugineum	2.17	0.85	0.46	merge	merge	mixture	merge	568.82	359.74
Cetonia aurata	1	1	monophyletic		N/A		15.54	match	match	match	match	0	N/A
Cetonischema aeruginosa	1	1	monophyletic		N/A		12.20	match	match	match	match	0	N/A
Ceutorhynchus asperifoliarum	3	2	monophyletic		0.30		17.44	match	match	match	match	0.00	0.00
Ceutorhynchus barbareae	1	1	monophyletic		N/A		7.55	match	match	match	match	0	N/A
Ceutorhynchus cakilis	2	1	monophyletic		0.00		0.00	merge	merge	merge	merge	0	N/A
Ceutorhynchus cochleariae	2	2	monophyletic		0.32		12.59	match	match	match	match	0	N/A
Ceutorhynchus contractus	14	4	paraphyletic	Ceutorhynchus erysimi	0.65		0.00	merge	merge	merge	merge	248.87	182.41
Ceutorhynchus erysimi	4	2	monophyletic		0.82		0.00	merge	merge	merge	merge	562.25	435.51
Ceutorhynchus fennicus	1	1	monophyletic		N/A		15.40	match	match	match	match	0	N/A
Ceutorhynchus gallorhenanus	4	1	monophyletic		0.00		4.73	match	match	match	match	188.85	150.25
Ceutorhynchus hampei	4	1	monophyletic		0.00		14.41	match	match	match	match	76.29	40.05
Ceutorhynchus ignitus	8	6	monophyletic		1.39		6.82	match	match	match	match	288.62	260.70
Ceutorhynchus inaffectatus	12	1	monophyletic		0.00		13.12	match	match	match	match	116.04	69.93
Ceutorhynchus litura	2	2	monophyletic		0.46		17.44	match	match	match	match	0	N/A
Ceutorhynchus obstrictus	11	2	monophyletic		0.33		4.73	match	match	match	match	251.88	257.46
Ceutorhynchus pallidactylus	2	2	monophyletic		0.96		13.42	match	match	match	match	0	N/A
Ceutorhynchus pervicax	1	1	monophyletic		N/A		6.82	match	match	match	match	0	N/A
Ceutorhynchus pulvinatus	1	1	monophyletic		N/A		12.46	match	match	match	match	0	N/A
Ceutorhynchus puncticollis	3	1	monophyletic		0.00		12.36	match	match	match	match	0.00	0.00
Ceutorhynchus punctiger	3	3	monophyletic		7.78	7.61	15.40	split	split	split	split	311.58	183.08
Ceutorhynchus querceti	3	3	monophyletic		0.88		15.88	match	match	match	match	9.40	8.14
Ceutorhynchus rapae	1	1	monophyletic		N/A		12.76	match	match	match	match	0	N/A
Ceutorhynchus roberti	2	2	monophyletic		1.14		14.02	match	match	match	match	0	N/A
Ceutorhynchus triangulum	1	1	monophyletic		N/A		18.56	match	match	match	match	0	N/A
Ceutorhynchus typhae	6	4	paraphyletic	Ceutorhynchus cakilis	0.46		0.00	merge	merge	merge	merge	70.29	39.90
Chaetarthria seminulum	5	5	monophyletic		1.86	0.77	13.69	match	match	match	match	272.79	182.54
Chaetocnema aridula	2	1	monophyletic		0.00		9.42	match	match	match	match	0	N/A
Chaetocnema hortensis	7	4	monophyletic		0.78		11.22	match	match	match	match	403.25	247.41
Chaetocnema mannerheimii	3	2	monophyletic		0.30		9.23	match	match	match	match	227.23	89.67
Chaetocnema picipes	2	1	monophyletic		0.00		15.08	match	match	match	match	0	N/A
Chaetocnema sahlbergii	5	5	monophyletic		0.61		9.23	match	match	match	match	335.86	193.62
Chalcophora mariana	1	1	monophyletic		N/A		19.35	match	match	match	match	0	N/A
Charopus graminicola	4	2	monophyletic		0.16		13.49	match	match	match	match	120.92	54.92
Chilocorus bipustulatus	1	1	monophyletic		N/A		8.04	match	match	match	match	0	N/A
Chilocorus renipustulatus	3	1	monophyletic		0.00		8.04	match	match	match	match	382.38	217.82
Chlorophorus herbstii	1	1	monophyletic		N/A		16.85	match	match	match	match	0	N/A
Chrysanthia geniculata	5	2	monophyletic		0.15		15.56	match	match	match	match	357.47	245.51
Chrysanthia viridissima	5	2	monophyletic		0.48		15.56	match	match	match	match	396.65	248.32
Chrysobothris chrysostigma	2	1	monophyletic		0.00		15.70	match	match	match	match	0	N/A
Chrysolina fastuosa	8	3	monophyletic		1.86	1.39	14.85	split	match	match	match	256.36	132.93
Chrysolina geminata	1	1	monophyletic		N/A		6.86	match	match	match	match	0	N/A
Chrysolina graminis	1	1	monophyletic		N/A		16.13	match	match	match	match	0	N/A
Chrysolina haemoptera	1	1	monophyletic		N/A		10.27	match	match	match	match	0	N/A
Chrysolina hyperici	2	1	monophyletic		0.00		6.86	match	match	match	match	0	N/A
Chrysolina marginata	4	3	monophyletic		2.97	2.23	14.24	match	match	match	split	431.02	358.17
Chrysolina polita	4	3	monophyletic		0.30		18.34	match	match	match	match	422.45	232.42
Chrysolina sanguinolenta	3	1	monophyletic		0.00		10.27	match	match	match	match	164.44	53.19
Chrysolina staphylaea	2	2	monophyletic		0.48		16.72	match	match	match	match	0	N/A
Chrysolina varians	5	4	monophyletic		5.28	4.11	13.21	match	split	split	split	286.50	188.92
Chrysomela collaris	3	2	monophyletic		0.46		12.26	match	match	match	match	156.14	135.22
Chrysomela cuprea	2	1	monophyletic		0.00		11.87	match	match	match	match	0	N/A
Chrysomela lapponica	1	1	monophyletic		N/A		13.99	match	match	match	match	0	N/A
Chrysomela populi	3	2	monophyletic		0.32		14.05	match	match	match	match	418.78	273.16
Chrysomela tremula	4	3	monophyletic		4.60	4.10	12.83	match	split	split	split	25.63	28.07
Chrysomela vigintipunctata	1	1	monophyletic		N/A		11.87	match	match	match	match	0	N/A
Cicindela campestris	4	1	monophyletic		0.00		7.22	match	match	match	match	541.17	247.18
Cicindela hybrida	5	3	monophyletic		0.30		7.22	match	match	match	match	140.50	143.80
Cicindela maritima	3	2	monophyletic		0.16		7.74	match	match	match	match	0.00	0.00
Cicindela sylvatica	2	1	monophyletic		0.00		7.37	match	match	match	match	0	N/A
Cilea silphoides	2	2	monophyletic		0.15		14.75	match	match	match	match	0	N/A
Cimberis attelaboides	1	1	monophyletic		N/A		15.50	match	match	match	match	0	N/A
Cionus hortulanus	4	3	monophyletic		0.46		9.31	match	match	match	match	135.36	66.89
Cionus nigritarsis	1	1	monophyletic		N/A		8.14	match	match	match	match	0	N/A
Cionus scrophulariae	2	2	monophyletic		0.36		13.03	match	match	match	match	0	N/A
Cionus tuberculosus	3	3	monophyletic		0.46		8.14	match	match	match	match	69.32	60.03
Cis bidentatus	1	1	monophyletic		N/A		12.93	match	match	match	match	0	N/A
