Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Adalia conglomerata	2	1	monophyletic		0.00		12.75	match	match	match	match	0	N/A
Adalia decempunctata	3	1	monophyletic		0.00		11.34	match	match	match	match	402.17	348.29
Adrastus pallens	4	2	monophyletic		0.15		19.04	match	match	match	match	89.30	69.17
Aegialia arenaria	3	2	monophyletic		0.15		14.37	match	match	match	match	0.00	0.00
Aegialia sabuleti	2	2	monophyletic		0.31		14.37	match	match	match	match	0	N/A
Agabus affinis	5	1	monophyletic		0.00		8.75	match	match	match	match	58.73	50.54
Agabus arcticus	1	1	monophyletic		N/A		4.10	match	match	match	match	0	N/A
Agabus bipustulatus	6	2	monophyletic		0.49		9.10	match	match	match	match	532.46	353.89
Agabus congener	3	3	polyphyletic	"Agabus lapponicus,Agabus thomsoni"	1.23		0.00	merge	merge	merge	merge	19.06	16.51
Agabus fuscipennis	1	1	monophyletic		N/A		7.77	match	match	match	match	0	N/A
Agabus guttatus	4	3	monophyletic		0.30		10.45	match	match	match	match	131.71	65.68
Agabus infuscatus	2	2	monophyletic		0.46		9.63	match	match	match	match	0	N/A
Agabus labiatus	2	2	monophyletic		0.15		10.82	match	match	match	match	0	N/A
Agabus lapponicus	5	3	paraphyletic	Agabus congener	1.07		0.00	merge	merge	merge	merge	190.11	115.89
Agabus paludosus	1	1	monophyletic		N/A		10.29	match	match	match	match	0	N/A
Agabus serricornis	2	2	monophyletic		0.46		9.94	match	match	match	match	0	N/A
Agabus sturmii	2	1	monophyletic		0.00		4.10	match	match	match	match	0	N/A
Agabus thomsoni	3	2	paraphyletic	Agabus congener	0.46		0.00	merge	merge	merge	merge	113.65	98.42
Agabus uliginosus	2	2	monophyletic		0.33		9.10	match	match	match	match	0	N/A
Agabus undulatus	2	2	monophyletic		0.30		9.94	match	match	match	match	0	N/A
Agabus unguicularis	2	2	monophyletic		0.15		8.75	match	match	match	match	0	N/A
Agapanthia villosoviridescens	4	2	monophyletic		1.07		19.72	match	match	match	match	185.91	158.24
Agathidium arcticum	1	1	monophyletic		N/A		13.30	match	match	match	match	0	N/A
Agathidium seminulum	1	1	monophyletic		N/A		12.56	match	match	match	match	0	N/A
Agelastica alni	4	1	monophyletic		0.00		15.88	match	match	match	match	132.38	127.04
Agonum consimile	3	2	monophyletic		0.15		7.38	match	match	match	match	22.91	19.84
Agonum emarginatum	6	4	monophyletic		1.08		2.69	match	match	split	match	145.25	197.59
Agonum ericeti	3	3	paraphyletic	Agonum sexpunctatum	0.30		0.00	merge	merge	merge	merge	547.02	254.24
Agonum fuliginosum	8	6	monophyletic		0.46		8.20	match	match	match	match	427.83	237.34
Agonum gracile	1	1	monophyletic		N/A		4.26	match	match	match	match	0	N/A
Agonum hypocrita	3	2	monophyletic		0.15		2.17	match	match	match	match	0.35	0.30
Agonum marginatum	4	2	monophyletic		0.46		5.07	match	match	match	match	98.71	92.29
Agonum muelleri	2	2	monophyletic		0.97		5.07	match	match	match	match	0	N/A
Agonum piceum	3	3	monophyletic		0.31		4.26	match	match	match	match	93.04	46.60
Agonum sexpunctatum	5	1	monophyletic		0.00		0.00	merge	merge	merge	merge	382.34	194.10
Agonum thoreyi	6	4	monophyletic		0.46		7.38	match	match	match	match	298.96	218.23
Agonum viduum	7	2	monophyletic		0.16		2.17	match	match	match	match	457.02	243.55
Agrilus angustulus	3	2	monophyletic		0.76		16.86	match	match	match	match	0.00	0.00
